Index	Gene_name	Gene_list_number	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
212	Slc24a4	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000041771	ENSMUST00000079020|ENSMUST00000159329|ENSMUST00000235018|ENSMUST00000161325	NM_172152|NM_001362345	SLC24A4	NCKX4|A930002M03Rik	Regulation: UP|Probe.Set:ILMN_1219643|Identifier:NM_172152|FirstOfLocuslink:None|FirstOfName:Slc24a4|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:5.61890690358992e-08|ANOVA.CELL:3.40724213753923e-36|ANOVA.INT:2.2802384518982603e-05|FDR_ANOVA.TREAT:7.26743438001011e-06|FDR_ANOVA.CELL:7.54561143686986e-35|FDR_ANOVA.INT:0.00254318189077174|TTEST.ASTRO.DEX:7.270049748193891e-05|TTEST.ASTRO.ALD:0.00130658348748629|TTEST.ASTRO.DHT:0.226329629243278|TTEST.ASTRO.PRG:0.198470672414212|TTEST.ASTRO.ESR:0.104945013638055|TTEST.NEURO.DEX:0.10322051767218|TTEST.NEURO.ALD:0.20174447382201102|TTEST.NEURO.DHT:0.720696937613411|TTEST.NEURO.PRG:0.137903312151785|TTEST.NEURO.ESR:0.168312906702193|FDR_TTEST.ASTRO.DEX:0.009429417895311931|FDR_TTEST.ASTRO.ALD:0.222620612366022|FDR_TTEST.ASTRO.DHT:0.9201149837751771|FDR_TTEST.ASTRO.PRG:0.8949866771345011|FDR_TTEST.ASTRO.ESR:0.934626371936716|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.7465416666666671|FOLD.ASTRO.ALD:0.39192708333333404|FOLD.ASTRO.DHT:0.10720312500000201|FOLD.ASTRO.PRG:0.137218750000001|FOLD.ASTRO.ESR:0.0816614583333344|FOLD.NEURO.DEX:0.148510416666666|FOLD.NEURO.ALD:0.135403645833334|FOLD.NEURO.DHT:0.0350781250000001|FOLD.NEURO.PRG:0.122625|FOLD.NEURO.ESR:0.11988541666666701
213	Zfp36	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000044786	ENSMUST00000209061|ENSMUST00000051241	NM_011756	ZFP36	Nup475|Zfp-36|Tristetraprolin|Tis11|Ttp	Regulation: UP|Probe.Set:ILMN_3162407|Identifier:NM_011756.4|FirstOfLocuslink:NP_035886.1|FirstOfName:Zfp36|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.70845433365408e-10|ANOVA.CELL:6.4971688060036e-42|ANOVA.INT:4.98717463189794e-09|FDR_ANOVA.TREAT:5.53363585850193e-08|FDR_ANOVA.CELL:3.46420637931189e-40|FDR_ANOVA.INT:1.6103342758968901e-06|TTEST.ASTRO.DEX:7.33905610827778e-05|TTEST.ASTRO.ALD:0.0323807917877267|TTEST.ASTRO.DHT:0.9645124314690261|TTEST.ASTRO.PRG:0.664505409333458|TTEST.ASTRO.ESR:0.948428787743906|TTEST.NEURO.DEX:0.386781364700689|TTEST.NEURO.ALD:0.6925638192875381|TTEST.NEURO.DHT:0.303835009338118|TTEST.NEURO.PRG:0.8085391078538431|TTEST.NEURO.ESR:0.7837275663082981|FDR_TTEST.ASTRO.DEX:0.00949225705164197|FDR_TTEST.ASTRO.ALD:0.57616596532042|FDR_TTEST.ASTRO.DHT:0.9967613222571151|FDR_TTEST.ASTRO.PRG:0.9665892209927871|FDR_TTEST.ASTRO.ESR:0.998196346409513|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.1576328125|FOLD.ASTRO.ALD:0.319005208333333|FOLD.ASTRO.DHT:0.00624218749999983|FOLD.ASTRO.PRG:0.0583020833333325|FOLD.ASTRO.ESR:0.00819791666666703|FOLD.NEURO.DEX:0.0888229166666665|FOLD.NEURO.ALD:0.0334739583333334|FOLD.NEURO.DHT:0.126528645833334|FOLD.NEURO.PRG:-0.0193515625000007|FOLD.NEURO.ESR:-0.0224973958333337
214	Nde1	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000022678	ENSMUST00000149232|ENSMUST00000023359|ENSMUST00000133249|ENSMUST00000156041|ENSMUST00000117958|ENSMUST00000127801|ENSMUST00000132316|ENSMUST00000115795	NM_001285503|NM_001114085|NM_001285504|NM_023317	NDE1	2810027M15Rik|mNudE	Regulation: UP|Probe.Set:ILMN_2945588|Identifier:NM_023317.1|FirstOfLocuslink:NP_075806.1|FirstOfName:Nde1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:9.94368575414094e-06|ANOVA.CELL:6.86323370098029e-31|ANOVA.INT:0.48852222216074703|FDR_ANOVA.TREAT:0.0007502283431563791|FDR_ANOVA.CELL:8.58815590539469e-30|FDR_ANOVA.INT:0.9999978870935041|TTEST.ASTRO.DEX:0.008005181135971321|TTEST.ASTRO.ALD:0.13292057347477101|TTEST.ASTRO.DHT:0.680579950146845|TTEST.ASTRO.PRG:0.508076039502911|TTEST.ASTRO.ESR:0.7458312203013551|TTEST.NEURO.DEX:0.00038058308645657404|TTEST.NEURO.ALD:0.20806953138105203|TTEST.NEURO.DHT:0.29531291645810304|TTEST.NEURO.PRG:0.839273558911599|TTEST.NEURO.ESR:0.38041955730214905|FDR_TTEST.ASTRO.DEX:0.159875101112604|FDR_TTEST.ASTRO.ALD:0.7448337528934911|FDR_TTEST.ASTRO.DHT:0.9760701316511121|FDR_TTEST.ASTRO.PRG:0.9479897784784981|FDR_TTEST.ASTRO.ESR:0.988803998506053|FDR_TTEST.NEURO.DEX:0.358633539470323|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.39221354166666506|FOLD.ASTRO.ALD:0.23743489583333102|FOLD.ASTRO.DHT:-0.055796875000002195|FOLD.ASTRO.PRG:-0.0910416666666674|FOLD.ASTRO.ESR:-0.029643229166668002|FOLD.NEURO.DEX:0.388033854166665|FOLD.NEURO.ALD:0.12028385416666501|FOLD.NEURO.DHT:0.10631510416666501|FOLD.NEURO.PRG:0.0225442708333325|FOLD.NEURO.ESR:0.0622734375
215	Sesn1	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000038332	ENSMUST00000214835|ENSMUST00000041438|ENSMUST00000099931	NM_001013370|NM_001162908	SESN1	1110002G11Rik|SEST1|PA26	Regulation: UP|Probe.Set:ILMN_2654074|Identifier:NM_001013370.1|FirstOfLocuslink:NP_001013388.1|FirstOfName:Sesn1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:3.37937673548757e-06|ANOVA.CELL:5.7943222408712905e-27|ANOVA.INT:0.17175982532319|FDR_ANOVA.TREAT:0.000286310718136519|FDR_ANOVA.CELL:5.0922541901406797e-26|FDR_ANOVA.INT:0.9999978870935041|TTEST.ASTRO.DEX:7.79390005183082e-06|TTEST.ASTRO.ALD:0.0006501710095579321|TTEST.ASTRO.DHT:0.9052586684893831|TTEST.ASTRO.PRG:0.0442750414748289|TTEST.ASTRO.ESR:0.13569957130833202|TTEST.NEURO.DEX:0.0921556821429765|TTEST.NEURO.ALD:0.9517816520230631|TTEST.NEURO.DHT:0.9979910360493051|TTEST.NEURO.PRG:0.869456452441086|TTEST.NEURO.ESR:0.8490248462535921|FDR_TTEST.ASTRO.DEX:0.0022633681823473997|FDR_TTEST.ASTRO.ALD:0.171548549687588|FDR_TTEST.ASTRO.DHT:0.9923023786404921|FDR_TTEST.ASTRO.PRG:0.8524255595680821|FDR_TTEST.ASTRO.ESR:0.934626371936716|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.8911536458333331|FOLD.ASTRO.ALD:0.422820312500001|FOLD.ASTRO.DHT:0.0143567708333325|FOLD.ASTRO.PRG:0.194875|FOLD.ASTRO.ESR:0.11729166666666702|FOLD.NEURO.DEX:0.43401822916666805|FOLD.NEURO.ALD:0.0106276041666664|FOLD.NEURO.DHT:-0.000494791666666217|FOLD.NEURO.PRG:0.0355052083333334|FOLD.NEURO.ESR:0.0323046874999999
216	Tapt1	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000046985	ENSMUST00000198388|ENSMUST00000199374|ENSMUST00000199265|ENSMUST00000197266|ENSMUST00000198348|ENSMUST00000055128|ENSMUST00000196151|ENSMUST00000198391	NM_173764	TAPT1	4932414K18Rik	Regulation: UP|Probe.Set:ILMN_2771441|Identifier:NM_173764.3|FirstOfLocuslink:NP_776125.2|FirstOfName:Tapt1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:7.82578846242928e-08|ANOVA.CELL:0.16578475458906602|ANOVA.INT:8.60491733444394e-08|FDR_ANOVA.TREAT:9.595742622155971e-06|FDR_ANOVA.CELL:0.221535719696577|FDR_ANOVA.INT:1.89201644286007e-05|TTEST.ASTRO.DEX:7.418138828523541e-05|TTEST.ASTRO.ALD:0.0140381057925314|TTEST.ASTRO.DHT:0.772416321263|TTEST.ASTRO.PRG:0.9941461271465011|TTEST.ASTRO.ESR:0.9269920205288521|TTEST.NEURO.DEX:0.8216009686512591|TTEST.NEURO.ALD:0.587912814972231|TTEST.NEURO.DHT:0.9021101170265021|TTEST.NEURO.PRG:0.682402309693232|TTEST.NEURO.ESR:0.62043338119918|FDR_TTEST.ASTRO.DEX:0.00951458728522906|FDR_TTEST.ASTRO.ALD:0.47348100574459|FDR_TTEST.ASTRO.DHT:0.9827486436778841|FDR_TTEST.ASTRO.PRG:0.99978234573731|FDR_TTEST.ASTRO.ESR:0.99728860569029|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.874713541666667|FOLD.ASTRO.ALD:0.258065104166668|FOLD.ASTRO.DHT:0.025130208333333598|FOLD.ASTRO.PRG:-0.00065885416666589|FOLD.ASTRO.ESR:-0.007804687499998411|FOLD.NEURO.DEX:0.026447916666665298|FOLD.NEURO.ALD:0.0602499999999981|FOLD.NEURO.DHT:0.0134947916666661|FOLD.NEURO.PRG:0.043822916666664796|FOLD.NEURO.ESR:0.050877604166665
217	Lrrc52	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000040485	ENSMUST00000036643	NM_001013382	LRRC52	4930413P14Rik	Regulation: UP|Probe.Set:ILMN_2909808|Identifier:NM_001013382.1|FirstOfLocuslink:NP_001013400.1|FirstOfName:Lrrc52|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.5136072924081797e-10|ANOVA.CELL:1.15832662941883e-05|ANOVA.INT:5.82689178116603e-08|FDR_ANOVA.TREAT:5.18139746069889e-08|FDR_ANOVA.CELL:2.8172016743105102e-05|FDR_ANOVA.INT:1.36574061473889e-05|TTEST.ASTRO.DEX:7.44122611463298e-05|TTEST.ASTRO.ALD:0.0855218554677225|TTEST.ASTRO.DHT:0.9130581922188821|TTEST.ASTRO.PRG:0.8976227629051291|TTEST.ASTRO.ESR:0.178213844091881|TTEST.NEURO.DEX:0.126938429563989|TTEST.NEURO.ALD:0.11311458441158201|TTEST.NEURO.DHT:0.13902743989909602|TTEST.NEURO.PRG:0.22137375516168603|TTEST.NEURO.ESR:0.19842413206345602|FDR_TTEST.ASTRO.DEX:0.009517761069724741|FDR_TTEST.ASTRO.ALD:0.6886860576450461|FDR_TTEST.ASTRO.DHT:0.9927001572496811|FDR_TTEST.ASTRO.PRG:0.9913185894687361|FDR_TTEST.ASTRO.ESR:0.9424484317206381|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.7883697916666671|FOLD.ASTRO.ALD:0.14700260416666702|FOLD.ASTRO.DHT:0.00966406250000063|FOLD.ASTRO.PRG:-0.0114895833333328|FOLD.ASTRO.ESR:0.10228906250000101|FOLD.NEURO.DEX:0.17023697916666702|FOLD.NEURO.ALD:0.14048437500000002|FOLD.NEURO.DHT:0.120440104166667|FOLD.NEURO.PRG:0.11632552083333401|FOLD.NEURO.ESR:0.11016927083333301
218	B430216N15Rik	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex						Regulation: UP|Probe.Set:ILMN_1255967|Identifier:AK046642|FirstOfLocuslink:None|FirstOfName:B430216N15Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:3.6270616591169096e-14|ANOVA.CELL:2.27960688820967e-23|ANOVA.INT:3.9869414665983e-06|FDR_ANOVA.TREAT:1.53647656007398e-11|FDR_ANOVA.CELL:1.5160387218233202e-22|FDR_ANOVA.INT:0.000571717500865559|TTEST.ASTRO.DEX:7.63370592948001e-05|TTEST.ASTRO.ALD:0.000588495992423576|TTEST.ASTRO.DHT:0.9700478176964791|TTEST.ASTRO.PRG:0.0502402720192519|TTEST.ASTRO.ESR:0.48386666258757|TTEST.NEURO.DEX:0.00404778610607866|TTEST.NEURO.ALD:0.48407115170199605|TTEST.NEURO.DHT:0.7127062766673631|TTEST.NEURO.PRG:0.261869995937814|TTEST.NEURO.ESR:0.193408916845829|FDR_TTEST.ASTRO.DEX:0.009585361371215191|FDR_TTEST.ASTRO.ALD:0.162422283790875|FDR_TTEST.ASTRO.DHT:0.9970729709075771|FDR_TTEST.ASTRO.PRG:0.8530565717830411|FDR_TTEST.ASTRO.ESR:0.9717930829761621|FDR_TTEST.NEURO.DEX:0.8215406724570171|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.032015625|FOLD.ASTRO.ALD:0.6299765625|FOLD.ASTRO.DHT:0.00440624999999883|FOLD.ASTRO.PRG:0.29365625|FOLD.ASTRO.ESR:0.0743671875|FOLD.NEURO.DEX:0.39933333333333504|FOLD.NEURO.ALD:0.0683385416666669|FOLD.NEURO.DHT:0.0266692708333336|FOLD.NEURO.PRG:-0.0758593750000003|FOLD.NEURO.ESR:-0.0949296874999996
219	Aph1a	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000015750	ENSMUST00000197081|ENSMUST00000197232|ENSMUST00000056710|ENSMUST00000015894	NM_146134|NM_146104	APH1A	6530402N02Rik	Regulation: UP|Probe.Set:ILMN_2588759|Identifier:NM_146104.2|FirstOfLocuslink:NP_666216.1|FirstOfName:Aph1a|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.97005377578526e-12|ANOVA.CELL:1.1779927902358701e-08|ANOVA.INT:2.60285328305242e-12|FDR_ANOVA.TREAT:9.142617536207241e-10|FDR_ANOVA.CELL:3.42027536290959e-08|FDR_ANOVA.INT:1.66922427071754e-09|TTEST.ASTRO.DEX:7.64067306431365e-05|TTEST.ASTRO.ALD:0.581400127485435|TTEST.ASTRO.DHT:0.6081141921568161|TTEST.ASTRO.PRG:0.488509984448376|TTEST.ASTRO.ESR:0.835304362370439|TTEST.NEURO.DEX:0.834460606805382|TTEST.NEURO.ALD:0.9233796780907181|TTEST.NEURO.DHT:0.38982316962857305|TTEST.NEURO.PRG:0.5164378577866651|TTEST.NEURO.ESR:0.36746177015323905|FDR_TTEST.ASTRO.DEX:0.009585361371215191|FDR_TTEST.ASTRO.ALD:0.932103656638796|FDR_TTEST.ASTRO.DHT:0.968616178573203|FDR_TTEST.ASTRO.PRG:0.94361108336279|FDR_TTEST.ASTRO.ESR:0.99275959311239|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.11668229166667|FOLD.ASTRO.ALD:0.0614635416666669|FOLD.ASTRO.DHT:0.061789062499999006|FOLD.ASTRO.PRG:-0.07229687500000101|FOLD.ASTRO.ESR:-0.0225625000000003|FOLD.NEURO.DEX:0.023854166666666298|FOLD.NEURO.ALD:-0.008559895833332831|FOLD.NEURO.DHT:-0.0788307291666666|FOLD.NEURO.PRG:0.06676822916666669|FOLD.NEURO.ESR:0.0853671875000002
220	Arfl4	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000034936	ENSMUST00000039388	NM_025404	ARL4D		Regulation: UP|Probe.Set:ILMN_2622354|Identifier:NM_025404.1|FirstOfLocuslink:NP_079680.1|FirstOfName:Arfl4|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.5327624644882499e-06|ANOVA.CELL:9.75278029934715e-09|ANOVA.INT:7.03436238812998e-08|FDR_ANOVA.TREAT:0.000140146087198575|FDR_ANOVA.CELL:2.8454750255406002e-08|FDR_ANOVA.INT:1.60002290103209e-05|TTEST.ASTRO.DEX:7.647788407083471e-05|TTEST.ASTRO.ALD:0.827043957723084|TTEST.ASTRO.DHT:0.295751378442678|TTEST.ASTRO.PRG:0.267242903312421|TTEST.ASTRO.ESR:0.598942035981468|TTEST.NEURO.DEX:0.855937625674367|TTEST.NEURO.ALD:0.72290347773622|TTEST.NEURO.DHT:0.579094944566223|TTEST.NEURO.PRG:0.540316241335008|TTEST.NEURO.ESR:0.922982089474721|FDR_TTEST.ASTRO.DEX:0.009585361371215191|FDR_TTEST.ASTRO.ALD:0.9793778392060271|FDR_TTEST.ASTRO.DHT:0.931588027249134|FDR_TTEST.ASTRO.PRG:0.9108991004944981|FDR_TTEST.ASTRO.ESR:0.9789724553930741|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.3774375|FOLD.ASTRO.ALD:-0.0288880208333335|FOLD.ASTRO.DHT:-0.1410625|FOLD.ASTRO.PRG:-0.130552083333334|FOLD.ASTRO.ESR:-0.0520260416666671|FOLD.NEURO.DEX:-0.0373541666666668|FOLD.NEURO.ALD:0.0486979166666668|FOLD.NEURO.DHT:0.0884609375000007|FOLD.NEURO.PRG:0.117270833333333|FOLD.NEURO.ESR:0.0257083333333323
221	Bcl2l1	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000007659	ENSMUST00000007803|ENSMUST00000128172|ENSMUST00000109820|ENSMUST00000173755|ENSMUST00000156688|ENSMUST00000134902|ENSMUST00000146380|ENSMUST00000134357|ENSMUST00000140436	NM_009743|NM_001289717|NM_001289716|NM_001355053	BCL2L1	bcl-x|Bcl-XL|BclX|Bcl-Xs|Bcl(X)L	Regulation: UP|Probe.Set:ILMN_2647885|Identifier:NM_009743.4|FirstOfLocuslink:NP_033873.3|FirstOfName:Bcl2l1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:4.27969419925326e-06|ANOVA.CELL:2.11371801621364e-07|ANOVA.INT:0.00021995705258354102|FDR_ANOVA.TREAT:0.000354140860136774|FDR_ANOVA.CELL:5.72662182014015e-07|FDR_ANOVA.INT:0.0181686886332601|TTEST.ASTRO.DEX:2.9033233710612e-06|TTEST.ASTRO.ALD:0.0016692590817120202|TTEST.ASTRO.DHT:0.0281942923146157|TTEST.ASTRO.PRG:0.0104501249606411|TTEST.ASTRO.ESR:0.0157394631515013|TTEST.NEURO.DEX:0.436161154922083|TTEST.NEURO.ALD:0.81203346851635|TTEST.NEURO.DHT:0.7679192344013821|TTEST.NEURO.PRG:0.412859492890401|TTEST.NEURO.ESR:0.752096664938602|FDR_TTEST.ASTRO.DEX:0.00121870957577618|FDR_TTEST.ASTRO.ALD:0.252709406029412|FDR_TTEST.ASTRO.DHT:0.8798580181542781|FDR_TTEST.ASTRO.PRG:0.7870788407854991|FDR_TTEST.ASTRO.ESR:0.867316536877425|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.06751302083333|FOLD.ASTRO.ALD:0.644776041666669|FOLD.ASTRO.DHT:0.3255625|FOLD.ASTRO.PRG:0.318075520833334|FOLD.ASTRO.ESR:0.22310156250000002|FOLD.NEURO.DEX:0.0705546874999996|FOLD.NEURO.ALD:0.0224557291666656|FOLD.NEURO.DHT:-0.0368124999999999|FOLD.NEURO.PRG:-0.147375|FOLD.NEURO.ESR:-0.0469895833333336
222	1600032L17Rik	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000050423	ENSMUST00000132661|ENSMUST00000225537|ENSMUST00000172766	NM_029628	PPP1R3G		Regulation: UP|Probe.Set:ILMN_1238021|Identifier:XM_127272|FirstOfLocuslink:None|FirstOfName:1600032L17Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.34479004251938e-09|ANOVA.CELL:1.30101679861641e-39|ANOVA.INT:0.00275507875293686|FDR_ANOVA.TREAT:2.37001280241564e-07|FDR_ANOVA.CELL:4.77149719295586e-38|FDR_ANOVA.INT:0.137379056520634|TTEST.ASTRO.DEX:7.8465826668881e-05|TTEST.ASTRO.ALD:0.136306646546302|TTEST.ASTRO.DHT:0.10326433010213801|TTEST.ASTRO.PRG:0.0760847883478472|TTEST.ASTRO.ESR:0.0317891013587496|TTEST.NEURO.DEX:0.0457393575722985|TTEST.NEURO.ALD:0.7425816622111611|TTEST.NEURO.DHT:0.6355961798332731|TTEST.NEURO.PRG:0.50852841479899|TTEST.NEURO.ESR:0.894321524075063|FDR_TTEST.ASTRO.DEX:0.00968380697042435|FDR_TTEST.ASTRO.ALD:0.7481525462492451|FDR_TTEST.ASTRO.DHT:0.8965098199499251|FDR_TTEST.ASTRO.PRG:0.85703128377737|FDR_TTEST.ASTRO.ESR:0.8895939188720621|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.798401041666668|FOLD.ASTRO.ALD:0.19871875|FOLD.ASTRO.DHT:0.142986979166667|FOLD.ASTRO.PRG:0.14703125|FOLD.ASTRO.ESR:0.211197916666667|FOLD.NEURO.DEX:0.272255208333334|FOLD.NEURO.ALD:0.038322916666667005|FOLD.NEURO.DHT:-0.053830729166666196|FOLD.NEURO.PRG:0.0766119791666675|FOLD.NEURO.ESR:0.0133802083333343
223	Ttpal	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000017679	ENSMUST00000152135|ENSMUST00000109408|ENSMUST00000109405|ENSMUST00000132904|ENSMUST00000156839|ENSMUST00000171696|ENSMUST00000144729	NM_029512|NM_001305803|NM_181734	TTPAL	3110080A02Rik|5830472M02Rik	Regulation: UP|Probe.Set:ILMN_2722769|Identifier:NM_029512.2|FirstOfLocuslink:NP_083788.2|FirstOfName:Ttpal|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.5434570240519295e-07|ANOVA.CELL:0.258404308553692|ANOVA.INT:3.0633613227561495e-06|FDR_ANOVA.TREAT:2.7763967997298703e-05|FDR_ANOVA.CELL:0.326543160545121|FDR_ANOVA.INT:0.00045278151056710305|TTEST.ASTRO.DEX:7.901297791121821e-05|TTEST.ASTRO.ALD:0.171750668245568|TTEST.ASTRO.DHT:0.94805598550471|TTEST.ASTRO.PRG:0.9594255999529531|TTEST.ASTRO.ESR:0.0892979093641071|TTEST.NEURO.DEX:0.9496596111683271|TTEST.NEURO.ALD:0.032466044513501296|TTEST.NEURO.DHT:0.9864363107230021|TTEST.NEURO.PRG:0.33695714230629303|TTEST.NEURO.ESR:0.29408989647181405|FDR_TTEST.ASTRO.DEX:0.009695782666447331|FDR_TTEST.ASTRO.ALD:0.775820780863082|FDR_TTEST.ASTRO.DHT:0.9951473567186|FDR_TTEST.ASTRO.PRG:0.9970863789449381|FDR_TTEST.ASTRO.ESR:0.9344603195070771|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.45260677083333306|FOLD.ASTRO.ALD:0.13521093749999802|FOLD.ASTRO.DHT:-0.0038229166666674504|FOLD.ASTRO.PRG:-0.0034791666666667|FOLD.ASTRO.ESR:-0.103453125000001|FOLD.NEURO.DEX:0.00323958333333429|FOLD.NEURO.ALD:0.103994791666668|FOLD.NEURO.DHT:-0.000671874999998323|FOLD.NEURO.PRG:0.0456067708333343|FOLD.NEURO.ESR:-0.048843749999999596
